round,accuracy,loss
1,0.724,0.9540166931152344
2,0.8896,0.3866278670787811
3,0.9352,0.2244150575041771
4,0.9457,0.18033299211263656
5,0.9571,0.1424267805069685
6,0.9613,0.12430257314145565
7,0.9647,0.11446461399197579
8,0.9671,0.10698790099918842
9,0.9699,0.09398893166482448
10,0.9712,0.08862589012384414
11,0.9736,0.08315069864541293
12,0.9749,0.07901981167048217
13,0.976,0.0745623928476125
14,0.978,0.07183356726393103
15,0.9771,0.06779459072649478
