round,accuracy,loss
1,0.7254,1.126114060497284
2,0.8982,0.3868627612113953
3,0.9367,0.23751198879480362
4,0.95,0.17793983377814293
5,0.9548,0.15071540682315826
6,0.9609,0.12798738809674978
7,0.9656,0.11409870942607522
8,0.9685,0.1032488498084247
9,0.9695,0.09498959754109383
10,0.9726,0.08798521811664105
11,0.9747,0.08097833656221629
12,0.9766,0.07465289110690355
13,0.9774,0.07056830761656165
14,0.979,0.06718713150657714
15,0.9791,0.06593397833965718
