round,accuracy,loss
1,0.2983,2.047586619567871
2,0.6299,0.9947454921722412
3,0.8471,0.4626172953605652
4,0.885,0.3543802444458008
5,0.9354,0.22559108426570892
6,0.9344,0.20441672723293305
7,0.95,0.16500315489172934
8,0.9503,0.15610441989451646
9,0.953,0.149339322771132
10,0.9478,0.16035191334486007
11,0.9596,0.1311157794058323
12,0.9657,0.10932021109759807
13,0.9632,0.11409063918739558
14,0.9697,0.09933324780985713
15,0.9688,0.09834483284801245
