round,accuracy,loss
1,0.3831,2.323155702590942
2,0.497,2.3963367809295653
3,0.4471,2.0712587665557862
4,0.5255,1.5472644458770752
5,0.5452,1.3163120677947997
6,0.5952,1.4231688222885133
7,0.6288,1.0917825501441956
8,0.6297,1.1415370441436767
9,0.697,0.7930655324935914
10,0.7279,0.7495520024299621
11,0.6972,0.8453176510810853
12,0.7598,0.6798128523349762
13,0.8804,0.3394241781115532
14,0.875,0.3591454651355743
15,0.7962,0.5212364699840546
